iter	RMSE
0	5.270612636
1	5.169104568
2	5.075168277
3	5.000390464
4	4.911668264
5	4.81143697
6	4.720062245
7	4.643943803
8	4.560545878
9	4.496813898
10	4.415734793
11	4.335857673
12	4.264913368
13	4.196225235
14	4.11577227
15	4.051737263
16	3.988788333
17	3.920449571
18	3.852910697
19	3.7956575
20	3.732816172
21	3.668995856
22	3.610941574
23	3.547384106
24	3.486057885
25	3.431308909
26	3.37053551
27	3.302723694
28	3.242823301
29	3.202155985
30	3.145357688
31	3.096948944
32	3.045221305
33	2.999805216
34	2.956235992
35	2.911877514
36	2.875506715
37	2.83295274
38	2.789040272
39	2.749568994
40	2.70781494
41	2.671387877
42	2.626744019
43	2.586355145
44	2.542633656
45	2.505984486
46	2.470065871
47	2.432320839
48	2.394260826
49	2.36482641
50	2.331410099
51	2.299940721
52	2.27205384
53	2.238263158
54	2.204867263
55	2.177202594
56	2.151659058
57	2.120378278
58	2.091380998
59	2.064033722
60	2.037797744
61	2.009457194
62	1.986000187
63	1.96175927
64	1.938549062
65	1.91331438
66	1.891675915
67	1.869525617
68	1.847551864
69	1.825616072
70	1.810199349
71	1.793358851
72	1.775600706
73	1.755254678
74	1.73836065
75	1.722065112
76	1.700356402
77	1.685008635
78	1.666409592
79	1.648185743
80	1.628808182
81	1.613026774
82	1.598310124
83	1.582438602
84	1.568856123
85	1.554030208
86	1.539619968
87	1.526348696
88	1.510624979
89	1.499117849
90	1.487177637
91	1.473072083
92	1.459744027
93	1.445556905
94	1.433861005
95	1.42006237
96	1.407366921
97	1.398072479
98	1.385747214
99	1.375315002
100	1.365937005
101	1.354855754
102	1.34149546
103	1.33103916
104	1.320969514
105	1.309490244
106	1.301825255
107	1.294131882
108	1.283762365
109	1.273992943
110	1.263538797
111	1.252162618
112	1.243176904
113	1.233592261
114	1.226096845
115	1.217843031
116	1.210381727
117	1.2017625
118	1.194917799
119	1.186227399
120	1.178222064
121	1.171443734
122	1.163444474
123	1.15612662
124	1.151137887
125	1.144705431
126	1.138588818
127	1.132066152
128	1.125931306
129	1.119596466
130	1.114599683
131	1.107917863
132	1.102290812
133	1.096426987
134	1.090293164
135	1.085751769
136	1.080015053
137	1.074593691
138	1.0695673
139	1.06556563
140	1.060304462
141	1.053767811
142	1.047935062
143	1.043742501
144	1.039734513
145	1.034698031
146	1.030442381
147	1.026448569
148	1.021623607
149	1.016051827
150	1.011793592
151	1.007491646
152	1.003754961
153	0.9990438658
154	0.9955728877
155	0.9921642585
156	0.9882232668
157	0.984587208
158	0.9808003067
159	0.9773969031
160	0.9737420626
161	0.9691886378
162	0.9653245872
163	0.9608088873
164	0.9568920357
165	0.952720104
166	0.948497484
167	0.9451011943
168	0.9426631087
169	0.939664853
170	0.9352750201
171	0.9321177736
172	0.9288096543
173	0.9261131151
174	0.9224823008
175	0.9187226629
176	0.915546185
177	0.9130646509
178	0.9097547035
179	0.9061085801
180	0.903186259
181	0.9005793016
182	0.8973690005
183	0.8913823247
184	0.8879318289
185	0.882300073
186	0.8787184522
187	0.8758510946
188	0.8738938288
189	0.8711746306
190	0.8700399437
191	0.8679025364
192	0.8651380783
193	0.8609938204
194	0.8580655812
195	0.8560852896
196	0.8537410644
197	0.8513174617
198	0.8475393873
199	0.8440611784
200	0.8420866437
201	0.8357009199
202	0.8326238433
203	0.8300682447
204	0.8271806499
205	0.8244718127
206	0.8218735322
207	0.8196083923
208	0.8177547652
209	0.8165712251
210	0.8136555455
211	0.8094429618
212	0.80771727
213	0.8054063611
214	0.8024430579
215	0.8006836253
216	0.7986841543
217	0.7961918356
218	0.7941286337
219	0.7927368564
220	0.7899583918
221	0.7877706046
222	0.7857993271
223	0.784178842
224	0.7821630651
225	0.7810232614
226	0.7791304703
227	0.7777399518
228	0.7760059194
229	0.7750475463
230	0.772052222
231	0.7703392846
232	0.7683907254
233	0.7638094281
234	0.7611351873
235	0.7598873118
236	0.7571227579
237	0.7560689146
238	0.7539569019
239	0.7529814228
240	0.752149083
241	0.7509082881
242	0.7494829178
243	0.7486633237
244	0.7475414486
245	0.7428379964
246	0.7415318246
247	0.7390739216
248	0.7346048242
249	0.733649147
250	0.730934386
251	0.7282283492
252	0.7238970512
253	0.7201944649
254	0.7193354278
255	0.7183147766
