iter	Logloss
126	0.4175133437
127	0.4167846937
128	0.4159605048
129	0.4155852929
130	0.4148687727
131	0.4140694007
132	0.4135331572
133	0.4128281668
134	0.4119903907
135	0.4112746421
136	0.4105897539
137	0.4100811133
138	0.4093804949
139	0.408854281
140	0.4082835337
141	0.4077787935
142	0.4071821148
143	0.4067649413
144	0.4062658589
145	0.4055062626
146	0.4050476417
147	0.4047213779
148	0.4041724044
149	0.4036339749
150	0.4030609988
151	0.4024419892
152	0.4019044597
153	0.4014242365
154	0.4009197107
155	0.400687657
156	0.4001942324
157	0.4000287002
158	0.3995120445
159	0.3993467695
160	0.3990478087
161	0.3987285314
162	0.3986224057
163	0.3981869301
164	0.397730538
165	0.3971441033
166	0.3965952584
167	0.3962327764
168	0.395986407
169	0.3958017585
170	0.3952775162
171	0.3950066727
172	0.394679766
173	0.3942180162
174	0.3937275919
175	0.3935502299
176	0.3930926377
177	0.3927485434
178	0.3924053921
179	0.391915825
180	0.3917659802
181	0.3916191358
182	0.3911464563
183	0.3906847493
184	0.3901343185
185	0.3898041114
186	0.389423799
187	0.389047687
188	0.388746283
189	0.3887096791
190	0.3884936129
191	0.3881913089
192	0.3879936304
193	0.3877657772
194	0.3873724348
195	0.3869973943
196	0.3866434419
197	0.386196608
198	0.385732415
199	0.3854461413
200	0.3850311108
201	0.3847800266
202	0.3845146265
203	0.3840625634
204	0.3839798402
205	0.3836263164
206	0.383387362
207	0.38301125
208	0.3827134036
209	0.3822784852
210	0.3819894683
211	0.3819251328
212	0.3817205108
213	0.3813395125
214	0.3809099519
215	0.380517981
216	0.3801978893
217	0.37995242
218	0.3797572275
219	0.3793922596
220	0.379291663
221	0.3790775256
222	0.3787429038
223	0.3784411998
224	0.3783442465
225	0.3779834362
226	0.3778281908
227	0.3775080992
228	0.3772672589
229	0.3770010016
230	0.3767159708
231	0.3763722623
232	0.3759697903
233	0.3758971396
234	0.3755025114
235	0.3752194951
236	0.374890231
237	0.374678451
238	0.3744196517
239	0.3742007995
240	0.3740459399
241	0.3737748821
242	0.3736090499
243	0.3735839758
244	0.3733850543
245	0.3730474322
246	0.3727434137
247	0.3727167965
248	0.3724379807
249	0.3722164283
250	0.3720833425
251	0.3720021623
252	0.3717530068
253	0.3715170528
254	0.3715045372
255	0.3711896318
256	0.3709858241
257	0.3709475057
258	0.370769115
259	0.3705197024
260	0.3703056078
261	0.3702195843
262	0.3697935812
263	0.3695051643
264	0.3692481652
265	0.3689948521
266	0.368793959
267	0.3686299699
268	0.3684046027
269	0.3681781212
270	0.3680435352
271	0.3679011913
272	0.3675788279
273	0.3674018517
274	0.3670797884
275	0.3669576752
276	0.3667832278
277	0.366599608
278	0.366338837
279	0.3660354186
280	0.3657803053
281	0.3655754689
282	0.3654275101
283	0.3652468049
284	0.365003693
285	0.3646964598
286	0.3644215445
287	0.3642195798
288	0.364030688
289	0.3639110608
290	0.3637979057
291	0.3636184864
292	0.3635127893
293	0.3635011309
294	0.3632583618
295	0.3630030343
296	0.3627769384
297	0.3626384092
298	0.3623979547
299	0.362187932
300	0.3619688227
301	0.3618887569
302	0.3617131951
303	0.3615945537
304	0.361406562
305	0.3613531563
306	0.3611215741
307	0.3609390259
308	0.3606865272
309	0.3603989676
310	0.3601871448
311	0.3600722752
312	0.3598129187
313	0.3596188835
314	0.3595574625
315	0.3592790325
316	0.3591105643
317	0.3587710348
318	0.3585920227
319	0.3585620837
320	0.3583294943
321	0.3581736704
322	0.3581372379
323	0.3579385736
324	0.3576943473
325	0.3574501638
326	0.3572242608
327	0.3571339939
328	0.3570659509
329	0.3569485096
330	0.3568647578
331	0.3567990935
332	0.3566932035
333	0.3564049581
334	0.3562373472
335	0.3560913172
336	0.3558341894
337	0.355805322
338	0.3555632816
339	0.3553159264
340	0.3551818119
341	0.3549664101
342	0.3548699283
343	0.3546392462
344	0.3544365101
345	0.3542572193
346	0.354169867
347	0.3539000093
348	0.3538184862
349	0.3537388919
350	0.3535545221
351	0.3533692092
352	0.3532401953
353	0.3532239935
354	0.3530241077
355	0.3528156281
356	0.3527669371
357	0.3526482529
358	0.3524504244
359	0.3522920073
360	0.3521955683
361	0.3521794523
362	0.3520658257
363	0.3519190885
364	0.3518323577
365	0.3517452197
366	0.3516330505
367	0.3513935603
368	0.3511396258
369	0.350964214
370	0.3508542093
371	0.3506728612
372	0.3504798118
373	0.3502635313
374	0.3500140329
375	0.3498070963
376	0.3497362887
377	0.3496232194
378	0.3496225121
379	0.349508757
380	0.3493055279
381	0.3491364597
382	0.3491253371
383	0.3491169147
384	0.3489471393
385	0.3488032309
386	0.3485784423
387	0.3485510108
388	0.348359183
389	0.348139645
390	0.3479895002
391	0.3477726626
392	0.3475405232
393	0.3475146133
394	0.3474430127
395	0.3473260001
396	0.3471110055
397	0.3469300859
398	0.3467898637
399	0.3466353684
400	0.3465956356
401	0.3463693469
402	0.3462029789
403	0.3461110404
404	0.3459074042
405	0.3457568737
406	0.3456613991
407	0.3455510515
408	0.3453600594
409	0.3452596343
410	0.3452202229
411	0.345099717
412	0.3450462899
413	0.3449717318
414	0.3449024458
415	0.3446598696
416	0.3445597016
417	0.3443240476
418	0.3441147965
419	0.344049668
420	0.3440367881
421	0.3439062954
422	0.3437386416
423	0.343628144
424	0.3436133567
425	0.3435570578
426	0.3434300369
427	0.3432621902
428	0.3429404055
429	0.3429084521
430	0.3427997975
431	0.3427675869
432	0.3426615254
433	0.3426491812
434	0.3424878281
435	0.3424478167
436	0.3423444769
437	0.3423193385
438	0.3422239068
439	0.3420528669
440	0.3418367579
441	0.3416961713
442	0.3415306606
443	0.3413941458
444	0.341278762
445	0.3411759794
446	0.3410282778
447	0.3410187196
448	0.3408561235
449	0.3406120686
450	0.3405511406
451	0.3403529692
452	0.3402227337
453	0.3399981595
454	0.3399599054
455	0.3397689991
456	0.3395813288
457	0.3393903368
458	0.3392394419
459	0.3391223865
460	0.3389519466
461	0.3389408454
462	0.3387030698
463	0.3385903862
464	0.3384568718
465	0.3383577325
466	0.3383285437
467	0.3382014371
468	0.3381354086
469	0.338060079
470	0.3379143704
471	0.3378643079
472	0.3378238035
473	0.3376832812
474	0.337440105
475	0.3374265178
476	0.3372815593
477	0.3370883384
478	0.337075137
479	0.3369743261
480	0.3369630964
481	0.3368435335
482	0.3366938387
483	0.3365288209
484	0.336412837
485	0.3362563915
486	0.3362093293
487	0.3361129975
488	0.3359155762
489	0.3358019711
490	0.3356388178
491	0.335455348
492	0.3354259019
493	0.3352617628
494	0.3351640166
495	0.3350918373
496	0.3350587266
497	0.3349845329
498	0.3349136395
499	0.3347082888
500	0.33465289
501	0.3345247547
502	0.3344393955
503	0.3344311232
504	0.3342184002
505	0.3340574543
506	0.333852275
507	0.3337809102
508	0.3337023874
509	0.3335836389
510	0.3335572146
511	0.333457411
512	0.333406084
513	0.3333954972
514	0.3332171279
515	0.3329951254
516	0.3328724979
517	0.3327460128
518	0.3326763625
519	0.3324781911
520	0.3324145199
521	0.3322173129
522	0.3320009253
523	0.3319775013
524	0.3319165733
525	0.3318285567
526	0.3316350573
527	0.3315957316
528	0.3314411078
529	0.3313381109
530	0.3312371929
531	0.3311229877
532	0.3309072002
533	0.3307110647
534	0.3306872764
535	0.3305137934
536	0.3304604948
537	0.3303972951
538	0.3302392852
539	0.3300739674
540	0.3299411174
541	0.3298204186
542	0.329707585
543	0.3294171966
544	0.3292646087
545	0.3291343089
546	0.3290265973
547	0.328857679
548	0.3287490888
549	0.3286681872
550	0.3284953471
551	0.3283985867
552	0.3282323259
553	0.3281918644
554	0.3280470773
555	0.327959425
556	0.327769676
557	0.3275745692
558	0.3274614998
559	0.3273918066
560	0.3272984537
561	0.3271180699
562	0.326843476
563	0.3265911488
564	0.326478058
565	0.3263804404
566	0.3262257522
567	0.3260899233
568	0.3260549481
569	0.3260077359
570	0.3258585769
571	0.3258104646
572	0.325708475
573	0.325605221
574	0.3255773609
575	0.3254363028
576	0.3253798324
577	0.3253132467
578	0.3251498147
579	0.3250684845
580	0.3248411457
581	0.3247869684
582	0.3246492964
583	0.3245943048
584	0.3244638336
585	0.324294101
586	0.3242417239
587	0.3241689446
588	0.3240798993
589	0.3238824994
590	0.3238390805
591	0.3236270433
592	0.3235699514
593	0.323442952
594	0.3233832884
595	0.3233046371
596	0.323229929
597	0.323204662
598	0.3231111162
599	0.3230348223
600	0.322971644
601	0.3228808628
602	0.3228275856
603	0.3228142556
604	0.3227614499
605	0.3226468376
606	0.3225212526
607	0.3223356183
608	0.3222628604
609	0.322249809
610	0.3221207522
611	0.3219154872
612	0.321718366
613	0.3216182837
614	0.321575572
615	0.3213892304
616	0.321306743
617	0.3213003566
618	0.3210929485
619	0.3209428037
620	0.3208285771
621	0.3207118002
622	0.3205716637
623	0.3204044385
624	0.3202766247
625	0.3201724277
626	0.3200681879
627	0.3198978124
628	0.319791108
629	0.3196938975
630	0.3194916972
631	0.3193358732
632	0.3191846783
633	0.3190357765
634	0.3188799955
635	0.3187995868
636	0.3187679334
637	0.3187073483
638	0.3186155384
639	0.3185497027
640	0.318481231
641	0.3184362261
642	0.3183678616
643	0.3182640504
644	0.3182296753
645	0.3180469556
646	0.3179036473
647	0.317874737
648	0.3178419049
649	0.3177540811
650	0.3176547918
651	0.3174772155
652	0.3173019323
653	0.3171937492
654	0.3170855661
655	0.3169710609
656	0.3168464403
657	0.3167268346
658	0.3166509907
659	0.3166031141
660	0.3164569126
661	0.3162259734
662	0.3161833259
663	0.3160525118
664	0.3159080677
665	0.3157925338
666	0.3157658309
667	0.3156804931
668	0.3156111214
669	0.3154881081
670	0.3154168933
671	0.3153792392
672	0.3152510182
673	0.3151504431
674	0.3150373309
675	0.314980539
676	0.3148939154
677	0.3147378986
678	0.3146631905
679	0.3145452778
680	0.3144283509
681	0.3143150244
682	0.314303666
683	0.3141741378
684	0.3141462347
685	0.3139890821
686	0.313842902
687	0.313695329
688	0.3136704477
689	0.3135646006
690	0.3134594178
691	0.3133694938
692	0.313323846
693	0.3132512811
694	0.3131646574
695	0.3131293393
696	0.31308292
697	0.3129811876
698	0.3128914994
699	0.3128593102
700	0.3126886775
701	0.3125179162
702	0.3124334357
703	0.3124155195
704	0.3122277206
705	0.3120489656
706	0.3119903093
707	0.3119194159
708	0.3118112971
709	0.311711172
710	0.311562206
711	0.3113177224
712	0.3112424786
713	0.3111517831
714	0.3109650773
715	0.3109578336
716	0.31080516
717	0.3107267015
718	0.3105817002
719	0.3105426745
720	0.3103890794
721	0.3102463283
722	0.3101557185
723	0.310125801
724	0.3100382344
725	0.3099120922
726	0.3098332909
727	0.3097517892
728	0.3097415881
729	0.3096985549
730	0.3096336408
731	0.3095674836
732	0.3094109739
733	0.3093397376
734	0.3092907681
735	0.3092098022
736	0.3091031192
737	0.3089796774
738	0.3088863244
739	0.3088321257
740	0.3087657328
741	0.3086167668
742	0.3084733084
743	0.3084075156
744	0.3083387439
745	0.3082621071
746	0.3081603104
747	0.308058878
748	0.307921206
749	0.3078047077
750	0.3077146337
751	0.307629596
752	0.307564939
753	0.3075239846
754	0.3073565022
755	0.3073089257
756	0.3072399397
757	0.3071926846
758	0.3070377393
759	0.3069192265
760	0.3067565875
761	0.3067159117
762	0.3065440146
763	0.3064545835
764	0.3063158614
765	0.3060461537
766	0.3058585692
767	0.3057269407
768	0.3055088172
769	0.305405606
770	0.3053272333
771	0.3052348662
772	0.3051860252
773	0.3051001302
774	0.3049926115
775	0.3049652228
776	0.3048131278
777	0.3047019444
778	0.3045441703
779	0.304401312
780	0.3043324546
781	0.3042684834
782	0.3040867495
783	0.3040009616
784	0.3038468093
785	0.3037327541
786	0.3035053939
787	0.3034926425
788	0.3032839486
789	0.3032071832
790	0.3031575064
791	0.3030436226
792	0.3027097723
793	0.3026686465
794	0.30255607
795	0.3025362893
796	0.302428342
797	0.3023767793
798	0.3022889127
799	0.3022214054
800	0.3021613775
801	0.3020847835
802	0.3020094539
803	0.3018723606
804	0.3018312776
805	0.3017486187
806	0.3017208657
807	0.3015839652
808	0.3014843544
809	0.3014263196
810	0.3014217548
811	0.3013482683
812	0.3012252336
813	0.3011256872
814	0.3009774283
815	0.3008485858
816	0.3008069671
817	0.3007292158
818	0.300650243
819	0.3005434958
820	0.3004849252
821	0.3004384202
822	0.3003646336
823	0.3003597688
824	0.3003133495
825	0.300058472
826	0.2999721484
827	0.299884539
828	0.2998084593
829	0.2996889607
830	0.2995602468
831	0.2994749948
832	0.299399901
833	0.2992916321
834	0.2991737194
835	0.2989758909
836	0.2989339936
837	0.2988249318
838	0.2987355007
839	0.2986086299
840	0.2985534668
841	0.2984522702
842	0.2983855558
843	0.298151252
844	0.2980761367
845	0.2979599385
846	0.2978409756
847	0.2977000247
848	0.2976147512
849	0.2975167478
850	0.2974347747
851	0.2973590808
852	0.2972112291
853	0.2971227839
854	0.2970285523
855	0.2966825721
856	0.2966498043
857	0.2963871474
858	0.2962884581
859	0.2961154895
860	0.2959397134
861	0.2958350021
862	0.2957277619
863	0.2956097849
864	0.2955013875
865	0.2954039199
866	0.2953382771
867	0.2952086202
868	0.2950819851
869	0.2949915897
870	0.2948429879
871	0.2947672512
872	0.2947389838
873	0.294682192
874	0.2945983972
875	0.2943157025
876	0.2942421088
877	0.294063911
878	0.29401477
879	0.2939177738
880	0.2938695329
881	0.293767179
882	0.2936222205
883	0.2934371648
884	0.2933418403
885	0.2932680966
886	0.29308797
887	0.293018041
888	0.2929481764
889	0.2928643816
890	0.2927590917
891	0.292706436
892	0.2925914593
893	0.2924995637
894	0.2923745573
895	0.2921945165
896	0.2920862691
897	0.2918689171
898	0.2917827649
899	0.2917057423
900	0.2916210903
901	0.291480118
902	0.2913793285
903	0.2913488324
904	0.2913055206
905	0.2912267192
906	0.2911810929
907	0.2908066525
908	0.2907272082
909	0.2906498855
910	0.2906169034
911	0.2905537252
912	0.2904332193
913	0.2903302225
914	0.290255193
915	0.2901640688
916	0.2900023085
917	0.2898338832
918	0.2897782058
919	0.2896268609
920	0.2895174134
921	0.2893858706
922	0.289201715
923	0.2890632501
924	0.2889959571
925	0.288870865
926	0.2887189629
927	0.2886173805
928	0.2885527236
929	0.2884275458
930	0.2883047683
931	0.2881717039
932	0.2880999104
933	0.2880116581
934	0.2879117473
935	0.2877296276
936	0.2876390821
937	0.2875264629
938	0.2874617416
939	0.2874064928
940	0.2873319562
941	0.2870901086
942	0.2870472254
943	0.2869484934
944	0.2868678918
945	0.2866779927
946	0.2865038025
947	0.2863942907
948	0.2863608157
949	0.2861656875
950	0.286055297
951	0.2859609797
952	0.2859010161
953	0.2858289226
954	0.285770352
955	0.2857214896
956	0.2856686196
957	0.2855724163
958	0.2855489281
959	0.285415478
960	0.2853038231
961	0.2852454025
962	0.2851542569
963	0.2850637972
964	0.2848426305
965	0.2847015509
966	0.2845071514
967	0.2844451947
968	0.2843892387
969	0.284222635
970	0.2841556635
971	0.2841244173
972	0.2840059473
973	0.2839302106
974	0.283869304
975	0.2838310285
976	0.2837803016
977	0.2837586778
978	0.2835126298
979	0.283254452
980	0.2831715573
981	0.2831064074
982	0.2830536874
983	0.2829921594
984	0.2828722322
985	0.2827722142
986	0.2827269308
987	0.2826772111
988	0.2825744715
989	0.2825203371
990	0.2824420929
991	0.2824022529
992	0.2822949056
993	0.282060216
994	0.2819907799
995	0.281780543
996	0.2816907476
997	0.2816155466
998	0.2815420172
999	0.2814445496
