iter	Passed	Remaining
0	3	3886
1	5	2915
2	8	2670
3	10	2522
4	11	2360
5	13	2237
6	14	2094
7	17	2118
8	18	2068
9	19	1979
10	21	1909
11	23	1901
12	24	1877
13	26	1837
14	27	1804
15	28	1776
16	30	1776
17	32	1769
18	33	1754
19	35	1741
20	36	1723
21	38	1729
22	40	1729
23	42	1712
24	43	1699
25	44	1669
26	46	1667
27	48	1672
28	49	1661
29	51	1651
30	51	1622
31	53	1612
32	54	1609
33	57	1622
34	58	1608
35	59	1600
36	60	1583
37	61	1568
38	63	1565
39	64	1558
40	66	1551
41	67	1544
42	69	1537
43	70	1536
44	72	1536
45	73	1531
46	74	1515
47	76	1507
48	76	1491
49	78	1484
50	79	1487
51	80	1471
52	82	1468
53	83	1465
54	85	1462
55	87	1471
56	88	1457
57	89	1454
58	90	1446
59	92	1445
60	93	1445
61	95	1450
62	97	1447
63	98	1442
64	100	1439
65	101	1433
66	102	1432
67	103	1420
68	105	1417
69	106	1414
70	107	1411
71	109	1413
72	111	1419
73	113	1417
74	114	1410
75	115	1401
76	116	1400
77	118	1403
78	119	1397
79	120	1390
80	121	1383
81	123	1378
82	123	1368
83	125	1367
84	127	1369
85	128	1362
86	129	1361
87	131	1361
88	133	1365
89	135	1367
90	136	1361
91	137	1359
92	139	1357
93	140	1350
94	141	1352
95	143	1350
96	145	1350
97	146	1350
98	147	1346
99	150	1350
100	151	1348
101	152	1343
102	154	1341
103	155	1335
104	157	1338
105	158	1340
106	160	1338
107	161	1336
108	163	1334
109	164	1334
110	167	1340
111	168	1338
112	170	1336
113	172	1338
114	174	1341
115	175	1340
116	177	1338
117	178	1335
118	180	1332
119	181	1333
120	183	1334
121	185	1333
122	186	1330
123	188	1329
124	190	1330
125	191	1329
126	192	1325
127	194	1323
128	196	1327
129	198	1331
130	201	1335
131	202	1333
132	205	1337
133	207	1339
134	208	1336
135	210	1334
136	211	1331
137	213	1333
138	215	1332
139	216	1330
140	217	1328
141	219	1325
142	221	1326
143	222	1324
144	224	1321
145	225	1318
146	226	1316
147	228	1316
148	230	1316
149	231	1314
150	233	1312
151	234	1309
152	236	1308
153	238	1308
154	239	1305
155	240	1301
156	242	1299
157	243	1297
158	245	1299
159	246	1295
160	248	1294
161	249	1292
162	250	1287
163	252	1287
164	254	1289
165	256	1289
166	258	1287
167	259	1285
168	261	1285
169	263	1284
170	264	1282
171	265	1280
172	267	1278
173	269	1280
174	271	1280
175	272	1277
176	274	1275
177	276	1276
178	278	1278
179	280	1278
180	282	1276
181	283	1273
182	286	1278
183	288	1278
184	289	1277
185	292	1278
186	294	1279
187	296	1278
188	298	1280
189	299	1276
190	301	1277
191	303	1275
192	304	1273
193	306	1271
194	307	1270
195	309	1269
196	310	1267
197	313	1268
198	314	1266
199	316	1267
200	318	1266
201	319	1263
202	321	1262
203	323	1260
204	324	1258
205	326	1256
206	327	1255
207	329	1254
208	331	1253
209	333	1255
210	335	1253
211	335	1248
212	337	1246
213	338	1244
214	340	1244
215	342	1243
216	344	1242
217	346	1243
218	348	1243
219	350	1241
220	351	1237
221	352	1235
222	353	1232
223	355	1232
224	357	1230
225	358	1228
226	360	1228
227	362	1227
228	364	1226
229	365	1225
230	367	1223
231	368	1221
232	370	1219
233	372	1217
234	373	1216
235	375	1215
236	377	1214
237	378	1211
238	380	1210
239	381	1209
240	383	1207
241	384	1205
242	386	1203
243	387	1200
244	389	1199
245	390	1197
246	392	1196
247	393	1192
248	394	1190
249	396	1190
250	398	1188
251	399	1185
252	400	1183
253	402	1181
254	403	1179
255	405	1178
256	406	1176
257	408	1175
258	410	1173
259	412	1172
260	413	1170
261	414	1168
262	416	1167
263	418	1166
264	420	1165
265	421	1163
266	423	1162
267	425	1160
268	426	1159
269	428	1159
270	430	1157
271	431	1155
272	433	1153
273	434	1151
274	436	1151
275	438	1149
276	439	1147
277	441	1146
278	443	1145
279	445	1145
280	446	1143
281	448	1141
282	449	1139
283	451	1139
284	453	1137
285	455	1136
286	456	1134
287	458	1133
288	460	1133
289	462	1131
290	463	1129
291	465	1127
292	466	1125
293	467	1122
294	469	1121
295	470	1119
296	472	1117
297	474	1116
298	476	1117
299	478	1115
300	479	1113
301	481	1112
302	482	1110
303	484	1109
304	485	1107
305	487	1105
306	489	1104
307	491	1103
308	492	1102
309	494	1100
310	495	1098
311	496	1095
312	498	1094
313	500	1093
314	501	1090
315	503	1088
316	504	1087
317	506	1086
318	508	1085
319	509	1082
320	510	1080
321	512	1078
322	513	1076
323	515	1075
324	516	1073
325	518	1071
326	520	1070
327	521	1068
328	523	1067
329	524	1065
330	526	1063
331	527	1061
332	529	1060
333	531	1059
334	533	1058
335	535	1057
336	536	1055
337	537	1053
338	539	1051
339	541	1050
340	542	1048
341	543	1046
342	545	1044
343	547	1043
344	549	1042
345	550	1040
346	552	1040
347	554	1039
348	556	1038
349	558	1036
350	560	1035
351	562	1034
352	563	1033
353	565	1031
354	567	1030
355	568	1028
356	570	1026
357	572	1025
358	573	1024
359	575	1022
360	576	1020
361	577	1017
362	579	1016
363	581	1015
364	582	1013
365	585	1013
366	586	1012
367	588	1010
368	589	1008
369	591	1007
370	593	1006
371	595	1005
372	597	1004
373	599	1003
374	601	1002
375	603	1000
376	604	999
377	606	997
378	606	994
379	608	992
380	610	991
381	611	989
382	612	987
383	613	984
384	615	983
385	617	982
386	619	981
387	620	978
388	621	976
389	623	974
390	624	973
391	626	972
392	628	970
393	629	968
394	631	967
395	633	966
396	635	964
397	636	963
398	638	961
399	639	959
400	641	958
401	643	957
402	644	955
403	646	953
404	647	951
405	649	950
406	651	949
407	653	948
408	654	946
409	656	944
410	658	944
411	660	942
412	661	940
413	662	938
414	664	936
415	666	935
416	668	934
417	670	933
418	671	931
419	673	930
420	674	928
421	676	926
422	678	925
423	679	923
424	680	921
425	682	920
426	684	918
427	686	916
428	687	915
429	689	913
430	690	912
431	692	909
432	693	908
433	694	905
434	696	904
435	697	902
436	699	901
437	700	899
438	702	897
439	703	895
440	706	895
441	707	893
442	709	891
443	710	890
444	712	888
445	714	887
446	715	885
447	716	883
448	718	881
449	719	879
450	721	878
451	723	877
452	724	875
453	726	873
454	727	871
455	729	869
456	731	868
457	732	866
458	733	864
459	735	863
460	736	861
461	738	859
462	739	857
463	740	855
464	742	854
465	743	852
466	745	850
467	747	849
468	748	846
469	749	845
470	750	843
471	751	841
472	753	839
473	755	838
474	756	836
475	757	834
476	759	832
477	760	830
478	762	828
479	763	827
480	764	824
481	765	823
482	767	821
483	768	819
484	770	818
485	772	816
486	773	814
487	774	813
488	776	811
489	778	810
490	780	808
491	781	806
492	782	804
493	783	802
494	785	801
495	787	799
496	788	797
497	789	795
498	791	794
499	793	793
500	795	791
501	796	790
502	797	788
503	798	786
504	800	784
505	802	783
506	804	781
507	805	780
508	806	778
509	808	776
510	809	774
511	810	772
512	812	771
513	813	769
514	814	767
515	816	765
516	817	764
517	819	762
518	820	760
519	821	758
520	823	756
521	824	755
522	826	754
523	827	751
524	829	750
525	830	748
526	831	746
527	832	744
528	834	742
529	835	741
530	837	739
531	838	737
532	839	735
533	841	734
534	842	732
535	844	731
536	845	729
537	847	727
538	849	726
539	851	724
540	852	723
541	854	721
542	855	720
543	857	718
544	859	717
545	860	715
546	862	714
547	864	712
548	865	711
549	867	709
550	868	707
551	869	706
552	871	704
553	872	702
554	875	701
555	876	700
556	878	698
557	879	696
558	881	695
559	883	693
560	884	692
561	886	690
562	887	689
563	889	687
564	891	686
565	893	684
566	894	683
567	896	681
568	898	680
569	899	678
570	900	676
571	902	674
572	903	673
573	906	672
574	908	671
575	909	669
576	910	667
577	912	666
578	915	665
579	916	663
580	918	662
581	920	660
582	922	659
583	923	657
584	924	656
585	926	654
586	928	653
